MaxSizeTL,sstmean,Diet,Position,Kmax,Kmax_lowqt,Kmax_upqt
2,26,HerMac,BtPlAs,8.352,5.414,12.09
2,26,HerMac,BtPlDw,9.626,6.535,13.58
2,26,HerMac,BnthAs,8.051,5.257,11.831
2,26,HerMac,BnthDw,9.403,6.262,13.037
2,26,HerDet,PelgAs,8.009,5.219,11.824
2,26,HerDet,PelgDw,7.289,4.692,10.858
2,26,HerDet,BtPlAs,7.107,4.471,10.661
2,26,HerDet,BtPlDw,8.028,5.216,11.804
2,26,HerDet,BnthAs,6.984,4.596,10.275
2,26,HerDet,BnthDw,7.723,5.019,11.407
2,26,Omnivr,PelgAs,7.604,4.806,11.517
2,26,Omnivr,PelgDw,6.876,4.402,10.581
2,26,Omnivr,BtPlAs,6.798,4.232,10.454
2,26,Omnivr,BtPlDw,7.712,4.907,11.639
2,26,Omnivr,BnthAs,6.504,4.085,9.901
2,26,Omnivr,BnthDw,7.388,4.712,11.156
2,26,Plktiv,PelgAs,9.471,6.205,13.558
2,26,Plktiv,PelgDw,8.662,5.839,12.85
2,26,Plktiv,BtPlAs,8.167,5.339,12.152
2,26,Plktiv,BtPlDw,9.553,6.588,13.574
2,26,Plktiv,BnthAs,7.897,5.252,11.776
2,26,Plktiv,BnthDw,9.078,6.108,13.151
2,26,InvSes,PelgAs,9.244,5.956,13.597
2,26,InvSes,PelgDw,8.437,5.297,12.607
2,26,InvSes,BtPlAs,8.266,5.205,12.541
2,26,InvSes,BtPlDw,9.367,5.989,13.61
2,26,InvSes,BnthAs,7.824,4.957,11.771
2,26,InvSes,BnthDw,8.848,5.708,12.83
2,26,InvMob,PelgAs,10.035,7.011,13.982
2,26,InvMob,PelgDw,9.112,6.186,13.157
2,26,InvMob,BtPlAs,8.51,5.621,12.483
2,26,InvMob,BtPlDw,9.981,6.852,14.245
2,26,InvMob,BnthAs,8.248,5.699,11.84
2,26,InvMob,BnthDw,10.021,6.927,14.157
2,26,FisCep,PelgAs,8.172,5.321,11.772
2,26,FisCep,PelgDw,7.497,4.853,11.165
2,26,FisCep,BtPlAs,7.102,4.521,10.666
2,26,FisCep,BtPlDw,8.305,5.376,12.119
2,26,FisCep,BnthAs,6.777,4.417,10.087
2,26,FisCep,BnthDw,7.221,4.697,10.419
2,28,HerMac,PelgAs,7.561,5.043,11.175
2,28,HerMac,PelgDw,6.744,4.392,10.4
2,28,HerMac,BtPlAs,6.567,4.146,9.821
2,28,HerMac,BtPlDw,7.293,4.766,10.825
2,28,HerMac,BnthAs,7.029,4.54,10.98
2,28,HerMac,BnthDw,6.788,4.482,9.913
2,28,HerDet,PelgAs,6.247,3.871,9.856
2,28,HerDet,PelgDw,5.729,3.441,9.698
2,28,HerDet,BtPlAs,5.524,3.289,8.817
2,28,HerDet,BtPlDw,6.239,3.797,9.751
2,28,HerDet,BnthAs,6.057,3.667,9.877
